iter	Logloss
0	0.6269624574
1	0.5671263156
2	0.5178375917
3	0.4776074949
4	0.4436201557
5	0.4145569451
6	0.3922291234
7	0.3705756783
8	0.3507229321
9	0.3329248879
10	0.3183562061
11	0.3063455558
12	0.2952862449
13	0.2866284377
14	0.278176037
15	0.2708429967
16	0.2637793606
17	0.2581260257
18	0.2513397671
19	0.2465800233
20	0.24121779
21	0.2362432722
22	0.2319457282
23	0.2288044585
24	0.22537475
25	0.2222225149
26	0.2192059514
27	0.2166662966
28	0.2139989884
29	0.2120209651
30	0.2100705482
31	0.2079402162
32	0.2064224272
33	0.2046763246
34	0.2027994525
35	0.2013103965
36	0.1998796167
37	0.1981530013
38	0.19683241
39	0.1955283947
40	0.1945223629
41	0.1931339178
42	0.1918733602
43	0.1907348644
44	0.1895198989
45	0.1885032107
46	0.1876522569
47	0.1865245488
48	0.1859264658
49	0.1851492145
50	0.1842744071
51	0.1834036744
52	0.1824614987
53	0.1818563897
54	0.1811502441
55	0.1800405011
56	0.1795548089
57	0.1786235171
58	0.1777808989
59	0.177264493
60	0.1766061097
61	0.1757923902
62	0.1751958771
63	0.1742914677
64	0.1732993021
65	0.1725608296
66	0.171651735
67	0.1710917585
68	0.1703207682
69	0.1699439965
70	0.1691189345
71	0.168582568
72	0.1682792299
73	0.1675915356
74	0.1672261307
75	0.1666014805
76	0.1658856909
77	0.1653782907
78	0.1649783788
79	0.1645345532
80	0.1641217866
81	0.1635202449
82	0.1632768459
83	0.162619125
84	0.1622376356
85	0.1617621666
86	0.1614824014
87	0.1612268871
88	0.1609299206
89	0.1605208517
90	0.1599634711
91	0.1594199588
92	0.159013579
93	0.1585792427
94	0.1581787079
95	0.1577882159
96	0.1574086422
97	0.1568406367
98	0.1564994537
99	0.1562136188
100	0.1559678912
101	0.1558055423
102	0.1554089545
103	0.1550911805
104	0.1548231899
105	0.1546153556
106	0.1542579367
107	0.1538142982
108	0.153468013
109	0.1530916923
110	0.1528709645
111	0.1523495293
112	0.1518828321
113	0.151615639
114	0.1512652043
115	0.1509116041
116	0.150493135
117	0.1502374894
118	0.1498117186
119	0.1495541313
120	0.1492910395
121	0.1490237661
122	0.1488214677
123	0.148465766
124	0.1483271473
125	0.1479587082
126	0.1477676047
127	0.1475168861
128	0.1471510805
129	0.1469059889
130	0.1465591143
131	0.1462532159
132	0.1458857304
133	0.1455848339
134	0.145337324
135	0.1449148525
136	0.1445044128
137	0.144272692
138	0.1439969484
139	0.1437416467
140	0.1435240909
141	0.1432870704
142	0.1429853019
143	0.1426720556
144	0.1425664471
145	0.1421240796
146	0.14192658
147	0.1416315071
148	0.1413692424
149	0.1411631614
150	0.1409365028
151	0.1407532095
152	0.1403793599
153	0.1401469473
154	0.139976077
155	0.1397418908
156	0.1395632252
157	0.1392568539
158	0.1389672087
159	0.1386836796
160	0.1383096099
161	0.1380727237
162	0.1379026946
163	0.1376858099
164	0.1374750983
165	0.1372580738
166	0.1370629669
167	0.1368077026
168	0.1365080723
169	0.1362111142
170	0.1361483992
171	0.1359297221
172	0.1356254876
173	0.1354132658
174	0.1352833074
175	0.1349803351
176	0.1346861907
177	0.1344359889
178	0.1342283294
179	0.1340913272
180	0.1338126818
181	0.1336010786
182	0.1332389786
183	0.1331050563
184	0.1328950831
185	0.1326223995
186	0.1324672295
187	0.1322976723
188	0.1321319885
189	0.1320006412
190	0.1316847739
191	0.1315157833
192	0.1312570726
193	0.1311564624
194	0.1309126996
195	0.1307311264
196	0.1304740183
197	0.1303271742
198	0.1300232359
199	0.1297982423
200	0.1295932313
201	0.1294002504
202	0.1291391846
203	0.1288863891
204	0.1286575592
205	0.1284219671
206	0.1281707831
207	0.1279966416
208	0.1278793258
209	0.1275617542
210	0.1272913913
211	0.1271081393
212	0.1268934204
213	0.1267793073
214	0.1264883607
215	0.1262610931
216	0.1260508428
217	0.1256816531
218	0.1254540878
219	0.1252634009
220	0.1250863974
221	0.1248269228
222	0.1245929266
223	0.1242861897
224	0.1241265456
225	0.1239710262
226	0.1237646807
227	0.1235609985
228	0.1232917048
229	0.1229906076
230	0.1228114447
231	0.122653436
232	0.122418278
233	0.1221750529
234	0.1220337942
235	0.1217327027
236	0.1215042559
237	0.1213376753
238	0.1210511605
239	0.1208879269
240	0.1206036203
241	0.1204420358
242	0.1201790475
243	0.1200152906
244	0.1197856923
245	0.1196332673
246	0.1195004255
247	0.1193475402
248	0.1192297944
249	0.1190730298
250	0.1188508978
251	0.1186383979
252	0.1184369277
253	0.1183319432
254	0.1181607787
255	0.117836226
256	0.1177092819
257	0.1174365707
258	0.1172922405
259	0.1171895751
260	0.1170682312
261	0.1169517853
262	0.11674835
263	0.1164725101
264	0.1162678168
265	0.1160861714
266	0.1160167679
267	0.1158202035
268	0.1156275371
269	0.115500823
270	0.1153739765
271	0.1152342057
272	0.1150844619
273	0.1148845914
274	0.1146959951
275	0.1145856577
276	0.1144496075
277	0.1143049576
278	0.1141595627
279	0.113998724
280	0.113866177
281	0.1137546391
282	0.11362235
283	0.1134679232
284	0.1133733032
285	0.1132265231
286	0.113133423
287	0.1129688637
288	0.1127828534
289	0.1125441134
290	0.1124487569
291	0.1122977921
292	0.1121020372
293	0.1120162316
294	0.1118411039
295	0.1116849124
296	0.1115379831
297	0.1114220841
298	0.1112655714
299	0.1110745325
300	0.1109612808
301	0.1108739075
302	0.1107408123
303	0.1105457772
304	0.1103522302
305	0.110167182
306	0.1099937004
307	0.1099307181
308	0.1097398083
309	0.1095059743
310	0.1094037746
311	0.1092547927
312	0.1092170415
313	0.1090842986
314	0.1089630715
315	0.1088230949
316	0.1087677284
317	0.1085764974
318	0.1083875014
319	0.1083320307
320	0.1081918277
321	0.1080567499
322	0.1079454592
323	0.107797597
324	0.1075998508
325	0.1074324537
326	0.1073330786
327	0.1071861933
328	0.107102492
329	0.1069704526
330	0.1069165252
331	0.1068033487
332	0.1066424008
333	0.1065536901
334	0.1064621313
335	0.106335757
336	0.1061990452
337	0.1061801052
338	0.1060778197
339	0.1059759466
340	0.1057988067
341	0.1056732988
342	0.105573181
343	0.105430109
344	0.1053139166
345	0.1051664531
346	0.105041618
347	0.1049195469
348	0.1047552589
349	0.1046752248
350	0.1045547872
351	0.1044245311
352	0.1043361658
353	0.1042487622
354	0.1041177207
355	0.1039899914
356	0.1039000609
357	0.1037997081
358	0.1036750717
359	0.1034843945
360	0.1033186205
361	0.1032572617
