iter	Passed	Remaining
0	27	27335
1	57	28460
2	84	28183
3	113	28371
4	142	28300
5	170	28183
6	196	27820
7	224	27820
8	252	27794
9	280	27799
10	310	27911
11	338	27846
12	364	27695
13	393	27679
14	425	27930
15	451	27764
16	479	27716
17	506	27630
18	532	27508
19	559	27431
20	587	27403
21	615	27371
22	645	27428
23	672	27347
24	698	27225
25	725	27173
26	752	27129
27	779	27071
28	808	27067
29	835	27018
30	862	26953
31	900	27238
32	933	27343
33	1010	28714
34	1054	29077
35	1080	28945
36	1109	28877
37	1137	28786
38	1163	28662
39	1191	28593
40	1217	28475
41	1259	28725
42	1287	28660
43	1314	28563
44	1342	28484
45	1370	28420
46	1398	28364
47	1426	28287
48	1453	28205
49	1481	28145
50	1507	28052
51	1535	27993
52	1564	27956
53	1591	27880
54	1618	27809
55	1646	27748
56	1671	27657
57	1700	27613
58	1726	27543
59	1753	27466
60	1781	27416
61	1807	27347
62	1833	27274
63	1862	27241
64	1890	27192
65	1917	27129
66	1946	27099
67	1974	27059
68	2001	26999
69	2029	26959
70	2057	26915
71	2085	26874
72	2111	26811
73	2139	26771
74	2164	26693
75	2191	26648
76	2219	26602
77	2247	26565
78	2274	26514
79	2301	26471
80	2329	26426
81	2358	26401
82	2383	26332
83	2411	26292
84	2439	26265
85	2467	26224
86	2494	26176
87	2521	26130
88	2547	26079
89	2573	26016
90	2602	25997
91	2629	25952
92	2655	25901
93	2684	25875
94	2712	25837
95	2739	25794
96	2767	25765
97	2793	25715
98	2821	25674
99	2847	25624
100	2872	25569
101	2900	25533
102	2928	25506
103	2955	25466
104	2983	25431
105	3008	25372
106	3033	25319
107	3062	25291
108	3088	25243
109	3115	25211
110	3142	25167
111	3169	25131
112	3197	25095
113	3223	25055
114	3248	25002
115	3275	24961
116	3304	24938
117	3331	24901
118	3360	24881
119	3387	24839
120	3411	24785
121	3438	24746
122	3465	24707
123	3491	24663
124	3518	24628
125	3545	24592
126	3571	24547
127	3597	24509
128	3622	24460
129	3651	24435
130	3679	24410
131	3706	24376
132	3735	24351
133	3761	24311
134	3787	24265
135	3814	24233
136	3844	24216
137	3870	24179
138	3897	24144
139	3925	24116
140	3951	24072
141	3978	24038
142	4005	24006
143	4031	23962
144	4057	23927
145	4084	23894
146	4113	23868
147	4139	23831
148	4165	23792
149	4191	23750
150	4217	23714
151	4242	23670
152	4270	23639
153	4299	23619
154	4324	23576
155	4351	23540
156	4380	23519
157	4407	23487
158	4434	23453
159	4461	23422
160	4489	23394
161	4518	23372
162	4545	23340
163	4570	23300
164	4597	23268
165	4626	23242
166	4652	23205
167	4680	23181
168	4710	23160
169	4737	23128
170	4761	23084
171	4789	23054
172	4816	23025
173	4842	22988
174	4868	22949
175	4894	22916
176	4924	22895
177	4951	22864
178	4978	22832
179	5003	22792
180	5031	22767
181	5059	22739
182	5086	22706
183	5111	22666
184	5137	22634
185	5165	22607
186	5190	22566
187	5217	22536
188	5246	22511
189	5272	22477
190	5301	22455
191	5328	22425
192	5356	22398
193	5382	22360
194	5409	22329
195	5435	22294
196	5463	22268
197	5489	22233
198	5516	22204
199	5545	22183
200	5574	22157
201	5599	22122
202	5628	22096
203	5655	22067
204	5684	22046
205	5713	22020
206	5739	21987
207	5766	21956
208	5790	21915
209	5818	21887
210	5847	21864
211	5874	21836
212	5900	21801
213	5926	21766
214	5954	21741
215	5982	21713
216	6007	21677
217	6035	21651
218	6064	21625
219	6088	21586
220	6117	21562
221	6145	21536
222	6170	21501
223	6198	21474
224	6223	21437
225	6250	21405
226	6276	21373
227	6302	21341
228	6329	21309
229	6357	21284
230	6386	21260
231	6413	21231
232	6440	21201
233	6468	21174
234	6495	21144
235	6522	21116
236	6550	21087
237	6578	21060
238	6605	21031
239	6632	21001
240	6661	20979
241	6688	20949
242	6716	20924
243	6745	20899
244	6775	20880
245	6804	20854
246	6832	20829
247	6861	20806
248	6887	20772
249	6913	20739
250	6940	20710
251	6967	20680
252	6994	20652
253	7020	20618
254	7046	20587
255	7074	20559
256	7102	20533
257	7132	20512
258	7160	20485
259	7184	20449
260	7211	20419
261	7237	20387
262	7264	20357
263	7292	20331
264	7324	20314
265	7353	20290
266	7377	20254
267	7406	20228
268	7434	20202
269	7460	20171
270	7488	20143
271	7512	20107
272	7541	20082
273	7568	20053
274	7594	20022
275	7619	19987
276	7647	19960
277	7673	19928
278	7700	19898
279	7728	19873
280	7751	19834
281	7777	19803
282	7804	19773
283	7830	19741
284	7856	19711
285	7884	19682
286	7907	19645
287	7935	19617
288	7962	19589
289	7990	19562
290	8015	19530
291	8043	19503
292	8071	19475
293	8096	19442
294	8124	19416
295	8153	19391
296	8181	19365
297	8206	19331
298	8233	19304
299	8258	19270
300	8285	19240
301	8311	19210
302	8337	19178
303	8365	19152
304	8393	19126
305	8419	19095
306	8447	19067
307	8473	19038
308	8501	19011
309	8528	18982
310	8553	18950
311	8581	18922
312	8606	18889
313	8633	18860
314	8658	18828
315	8687	18803
316	8712	18770
317	8739	18743
318	8769	18720
319	8793	18687
320	8819	18655
321	8849	18634
322	8876	18604
323	8903	18575
324	8932	18552
325	8959	18523
326	8984	18491
327	9013	18467
328	9039	18435
329	9065	18406
330	9089	18372
331	9119	18348
332	9148	18324
333	9174	18294
334	9201	18265
335	9229	18239
336	9257	18212
337	9280	18176
338	9309	18152
339	9337	18125
340	9365	18098
341	9394	18075
342	9422	18049
343	9448	18017
344	9475	17989
345	9501	17959
346	9528	17930
347	9555	17902
348	9582	17874
349	9608	17844
350	9635	17816
351	9662	17787
352	9688	17758
353	9715	17728
354	9743	17703
355	9772	17677
356	9799	17649
357	9826	17622
358	9854	17594
359	9884	17572
360	9912	17545
361	9939	17517
362	9967	17491
363	9992	17459
364	10018	17429
365	10047	17404
366	10073	17375
367	10101	17347
368	10128	17319
369	10154	17289
370	10180	17260
371	10209	17235
372	10235	17205
373	10261	17175
374	10287	17145
375	10313	17115
376	10342	17091
377	10368	17061
378	10395	17033
379	10424	17008
380	10452	16981
381	10479	16954
382	10508	16928
383	10534	16898
384	10560	16868
385	10586	16840
386	10612	16810
387	10639	16782
388	10667	16754
389	10694	16728
390	10722	16701
391	10750	16674
392	10777	16645
393	10803	16616
394	10831	16589
395	10858	16561
396	10885	16533
397	10913	16506
398	10938	16476
399	10965	16448
400	10993	16421
401	11019	16391
402	11043	16360
403	11070	16332
404	11099	16306
405	11128	16281
406	11152	16248
407	11175	16215
408	11202	16187
409	11229	16159
410	11257	16133
411	11282	16102
412	11312	16078
413	11338	16049
414	11365	16021
415	11393	15994
416	11421	15968
417	11447	15938
418	11474	15910
419	11501	15883
420	11526	15851
421	11553	15824
422	11580	15796
423	11608	15769
424	11635	15742
425	11663	15715
426	11689	15686
427	11716	15658
428	11744	15632
429	11772	15606
430	11801	15580
431	11829	15554
432	11853	15521
433	11881	15494
434	11908	15467
435	11934	15438
436	11968	15419
437	11996	15392
438	12021	15362
439	12058	15347
440	12087	15321
441	12117	15297
442	12142	15267
443	12169	15239
444	12198	15213
445	12225	15185
446	12252	15158
447	12281	15132
448	12306	15102
449	12334	15075
450	12362	15048
451	12388	15019
452	12414	14990
453	12441	14962
454	12466	14932
455	12492	14903
456	12518	14873
457	12541	14841
458	12568	14814
459	12595	14786
460	12623	14759
461	12651	14732
462	12679	14705
463	12705	14677
464	12734	14651
465	12761	14623
466	12788	14596
467	12818	14571
468	12843	14541
469	12871	14514
470	12898	14487
471	12926	14460
472	12953	14432
473	12981	14406
474	13009	14378
475	13035	14350
476	13060	14319
477	13086	14291
478	13115	14266
479	13142	14237
480	13170	14210
481	13197	14183
482	13223	14154
483	13251	14127
484	13278	14099
485	13306	14073
486	13330	14041
487	13359	14016
488	13386	13988
489	13413	13960
490	13441	13934
491	13468	13906
492	13496	13880
493	13522	13851
494	13548	13822
495	13575	13794
496	13600	13764
497	13626	13735
498	13652	13706
499	13678	13678
500	13703	13648
501	13731	13621
502	13757	13593
503	13783	13565
504	13811	13537
505	13838	13510
506	13864	13481
507	13890	13452
508	13917	13425
509	13943	13397
510	13969	13368
511	13996	13340
512	14023	13312
513	14048	13283
514	14073	13253
515	14102	13227
516	14126	13197
517	14152	13169
518	14176	13138
519	14205	13112
520	14232	13085
521	14258	13056
522	14282	13026
523	14311	13000
524	14338	12972
525	14364	12944
526	14392	12918
527	14419	12890
528	14444	12860
529	14474	12835
530	14501	12808
531	14530	12782
532	14560	12757
533	14589	12731
534	14616	12704
535	14645	12678
536	14672	12650
537	14698	12622
538	14727	12595
539	14753	12568
540	14780	12540
541	14807	12513
542	14834	12485
543	14860	12456
544	14884	12426
545	14911	12398
546	14939	12372
547	14964	12343
548	14992	12316
549	15019	12288
550	15045	12260
551	15071	12232
552	15099	12205
553	15123	12175
554	15151	12148
555	15176	12119
556	15200	12089
557	15227	12062
558	15255	12035
559	15283	12008
560	15313	11983
561	15343	11958
562	15369	11929
563	15398	11903
564	15427	11877
565	15455	11850
566	15480	11822
567	15509	11795
568	15534	11766
569	15562	11739
570	15590	11713
571	15618	11686
572	15646	11659
573	15674	11632
574	15701	11605
575	15729	11578
576	15757	11551
577	15784	11524
578	15811	11496
579	15840	11470
580	15868	11444
581	15895	11416
582	15922	11388
583	15949	11361
584	15978	11335
585	16007	11309
586	16033	11280
587	16060	11253
588	16089	11227
589	16113	11197
590	16140	11169
591	16168	11143
592	16192	11113
593	16220	11086
594	16246	11058
595	16271	11029
596	16298	11001
597	16325	10974
598	16353	10947
599	16381	10920
600	16409	10893
601	16433	10864
602	16461	10837
603	16487	10809
604	16515	10782
605	16543	10755
606	16571	10728
607	16597	10700
608	16624	10673
609	16650	10645
610	16678	10618
611	16704	10590
612	16728	10560
613	16757	10534
614	16784	10507
615	16812	10480
616	16840	10453
617	16866	10425
618	16894	10398
619	16921	10371
620	16945	10341
621	16972	10314
622	17000	10287
623	17028	10260
624	17055	10233
625	17080	10204
626	17105	10175
627	17140	10153
628	17168	10126
629	17195	10098
630	17223	10072
631	17252	10045
632	17278	10017
633	17305	9990
634	17331	9962
635	17358	9934
636	17384	9906
637	17413	9880
638	17441	9853
639	17470	9827
640	17498	9800
641	17525	9772
642	17551	9745
643	17579	9717
644	17605	9690
645	17633	9662
646	17660	9635
647	17687	9607
648	17715	9580
649	17739	9552
650	17768	9525
651	17796	9498
652	17823	9471
